episode,total_reward,epsilon,loss,episode_length,high_score,max_y
1,-34.3000,0.9992,,16,-34.3000,1
2,-19.4000,0.9979,,27,-19.4000,1
3,-2.7000,0.9969,,20,-2.7000,2
4,-12.7000,0.9956,2.1507,25,-2.7000,2
5,-13.3000,0.9944,2.0503,26,-2.7000,2
6,-0.3000,0.9933,1.9598,21,-0.3000,2
7,-14.5000,0.9922,2.3653,23,-0.3000,2
8,-20.2000,0.9917,2.4601,10,-0.3000,2
9,-22.6000,0.9910,2.7304,14,-0.3000,2
10,-13.0000,0.9904,2.1301,12,-0.3000,1
11,-2.2000,0.9892,2.1119,25,-0.3000,2
12,1.0000,0.9875,2.3813,33,1.0000,2
13,-21.3000,0.9867,2.2710,16,1.0000,2
14,-37.7000,0.9850,2.2479,35,1.0000,1
15,-32.6000,0.9843,2.2895,14,1.0000,1
16,16.4000,0.9826,1.9694,34,16.4000,2
17,-23.0000,0.9820,1.8038,13,16.4000,2
18,9.8000,0.9807,2.2957,25,16.4000,3
19,-21.4000,0.9802,2.0198,12,16.4000,1
20,-32.2000,0.9797,2.1966,10,16.4000,1
21,-10.7000,0.9787,2.3312,20,16.4000,2
22,-32.3000,0.9781,2.2312,11,16.4000,1
23,-5.6000,0.9764,2.0750,34,16.4000,2
24,-6.7000,0.9745,1.9093,40,16.4000,3
25,-12.5000,0.9733,1.9002,23,16.4000,2
26,-20.0000,0.9729,1.8396,8,16.4000,1
27,-3.0000,0.9718,1.6884,23,16.4000,2
28,-32.6000,0.9706,1.8421,24,16.4000,1
29,-10.0000,0.9700,2.0775,13,16.4000,1
30,-22.8000,0.9694,1.7704,11,16.4000,1
31,-19.9000,0.9691,1.2461,7,16.4000,1
32,-7.0000,0.9674,1.8828,33,16.4000,1
33,-23.5000,0.9663,1.7053,23,16.4000,1
34,-7.8000,0.9645,1.5638,36,16.4000,2
35,-10.1000,0.9638,1.5564,14,16.4000,2
36,-11.3000,0.9628,1.3547,21,16.4000,1
37,-1.4000,0.9617,1.6750,22,16.4000,1
38,-19.4000,0.9613,1.6311,7,16.4000,1
39,-12.8000,0.9603,1.5223,21,16.4000,2
